NM_MUN,CD_MUN,TOT_POP,ABS_POP_BRANCA,ABS_POP_PRETA,ABS_POP_AMARELA,ABS_POP_PARDA,ABS_POP_INDIGENA,IGNORADOS,PERC_BRANCA,PERC_PRETA,PERC_AMARELA,PERC_PARDA,PERC_INDIGENA,ABS_INDIGENA_COR_RACA,PERC_INDIGENA_COR_RACA
Araucária,  4 101 804 ,   151 666,   94 668,   7 698,439,   48 728,124,9,"62,4","5,1","0,3","32,1","0,1",    124 ,"0,1"
Ariranha do Ivaí,  4 101 853 ,   2 329,   1 376,105,7,836,5,0,"59,2","4,4","0,3","35,9","0,2",    5 ,"0,2"
Assaí,  4 101 903 ,   13 797,   6 273,778,   1 581,   5 164,1,0,"45,5","5,6","11,5","37,4","0,0",    1 ,"0,0"
Assis Chateaubriand,  4 102 000 ,   36 808,   21 362,   1 597,411,   13 396,39,3,"58,0","4,3","1,1","36,4","0,1",    39 ,"0,1"
Astorga,  4 102 109 ,   25 475,   16 483,   1 015,251,   7 718,5,3,"64,7","4,0","1,0","30,3","0,0",    5 ,"0,0"
Atalaia,  4 102 208 ,   3 980,   2 514,188,19,   1 257,2,0,"63,2","4,7","0,5","31,6","0,1",    2 ,"0,1"
Balsa Nova,  4 102 307 ,   13 395,   9 388,368,25,   3 584,29,1,"70,1","2,7","0,2","26,8","0,2",    29 ,"0,2"
Bandeirantes,  4 102 406 ,   31 273,   18 647,   2 413,538,   9 651,22,2,"59,6","7,7","1,7","30,9","0,1",    22 ,"0,1"
Barbosa Ferraz,  4 102 505 ,   10 795,   5 158,791,36,   4 797,13,0,"47,8","7,3","0,3","44,4","0,1",    13 ,"0,1"
Barracão,  4 102 604 ,   9 759,   6 259,290,11,   3 181,18,0,"63,9","3,0","0,1","32,8","0,2",    18 ,"0,2"
Barra do Jacaré,  4 102 703 ,   2 814,   1 911,121,16,763,3,0,"67,9","4,3","0,6","27,1","0,1",    3 ,"0,1"
Bela Vista da Caroba,  4 102 752 ,   4 031,   2 864,90,3,   1 072,2,0,"71,0","2,2","0,1","26,6","0,0",    2 ,"0,0"
Bela Vista do Paraíso,  4 102 802 ,   14 833,   8 688,   1 002,81,   5 060,2,0,"58,6","6,8","0,5","34,1","0,0",    2 ,"0,0"
Bituruna,  4 102 901 ,   15 533,   9 500,327,11,   5 683,12,0,"61,2","2,1","0,1","36,5","0,1",    12 ,"0,1"
Boa Esperança,  4 103 008 ,   4 558,   2 714,139,18,   1 687,- ,0,"59,5","3,0","0,4","37,0","0,0",- ,"0,0"
Boa Esperança do Iguaçu,  4 103 024 ,   2 455,   1 751,21,1,682,- ,0,"71,3","0,9","0,0","27,8","0,0",- ,"0,0"
Boa Ventura de São Roque,  4 103 040 ,   6 378,   4 090,203,4,   2 078,3,0,"64,1","3,2","0,1","32,6","0,0",    3 ,"0,0"
Boa Vista da Aparecida,  4 103 057 ,   7 924,   4 900,252,13,   2 746,13,0,"61,8","3,2","0,2","34,7","0,2",    13 ,"0,2"
Bocaiúva do Sul,  4 103 107 ,   13 299,   8 190,352,27,   4 715,15,0,"61,5","2,7","0,2","35,5","0,1",    15 ,"0,1"
Bom Jesus do Sul,  4 103 156 ,   3 980,   2 462,83,1,   1 433,1,0,"61,9","2,1","0,0","36,0","0,0",    1 ,"0,0"
Bom Sucesso,  4 103 206 ,   6 581,   3 108,499,8,   2 961,5,0,"47,2","7,6","0,1","45,0","0,1",    5 ,"0,1"
Bom Sucesso do Sul,  4 103 222 ,   3 202,   2 278,64,- ,860,- ,0,"71,1","2,0","0,0","26,9","0,0",- ,"0,0"
Borrazópolis,  4 103 305 ,   7 735,   4 786,324,107,   2 512,6,0,"61,9","4,2","1,4","32,5","0,1",    6 ,"0,1"
Braganey,  4 103 354 ,   4 854,   3 153,124,11,   1 565,1,0,"65,0","2,6","0,2","32,2","0,0",    1 ,"0,0"
Brasilândia do Sul,  4 103 370 ,   3 708,   1 395,200,21,   2 092,- ,0,"37,6","5,4","0,6","56,4","0,0",- ,"0,0"
Cafeara,  4 103 404 ,   2 627,699,48,6,   1 874,- ,0,"26,6","1,8","0,2","71,3","0,0",- ,"0,0"
Cafelândia,  4 103 453 ,   18 997,   11 082,   1 021,72,   6 809,12,1,"58,4","5,4","0,4","35,8","0,1",    12 ,"0,1"
Cafezal do Sul,  4 103 479 ,   4 473,   2 158,201,42,   2 068,4,0,"48,2","4,5","0,9","46,2","0,1",    4 ,"0,1"
Califórnia,  4 103 503 ,   8 710,   5 343,372,58,   2 932,5,0,"61,3","4,3","0,7","33,7","0,1",    5 ,"0,1"
Cambará,  4 103 602 ,   23 212,   14 807,   1 548,178,   6 672,6,1,"63,8","6,7","0,8","28,7","0,0",    6 ,"0,0"
Cambé,  4 103 701 ,   107 208,   64 147,   6 730,785,   35 430,112,4,"59,8","6,3","0,7","33,0","0,1",    162 ,"0,2"
Cambira,  4 103 800 ,   9 460,   5 603,385,27,   3 442,3,0,"59,2","4,1","0,3","36,4","0,0",    3 ,"0,0"
Campina da Lagoa,  4 103 909 ,   15 723,   9 275,593,83,   5 767,5,0,"59,0","3,8","0,5","36,7","0,0",    5 ,"0,0"
Campina do Simão,  4 103 958 ,   3 936,   2 254,58,1,   1 621,2,0,"57,3","1,5","0,0","41,2","0,1",    2 ,"0,1"
Campina Grande do Sul,  4 104 006 ,   47 825,   29 190,   2 398,152,   16 003,82,0,"61,0","5,0","0,3","33,5","0,2",    86 ,"0,2"
Campo Bonito,  4 104 055 ,   4 027,   2 444,134,5,   1 444,- ,0,"60,7","3,3","0,1","35,9","0,0",- ,"0,0"
Campo do Tenente,  4 104 105 ,   7 508,   4 975,182,23,   2 327,1,0,"66,3","2,4","0,3","31,0","0,0",    1 ,"0,0"
Campo Largo,  4 104 204 ,   136 327,   94 866,   4 899,196,   36 235,130,1,"69,6","3,6","0,1","26,6","0,1",    131 ,"0,1"
Campo Magro,  4 104 253 ,   30 160,   18 501,   1 791,46,   9 801,21,0,"61,3","5,9","0,2","32,5","0,1",    21 ,"0,1"
Campo Mourão,  4 104 303 ,   99 432,   60 087,   4 060,877,   34 272,126,10,"60,4","4,1","0,9","34,5","0,1",    150 ,"0,2"
Cândido de Abreu,  4 104 402 ,   15 244,   9 991,293,7,   4 319,634,0,"65,5","1,9","0,0","28,3","4,2",    639 ,"4,2"
Candói,  4 104 428 ,   14 973,   7 678,565,31,   6 678,20,1,"51,3","3,8","0,2","44,6","0,1",    20 ,"0,1"
Cantagalo,  4 104 451 ,   10 933,   6 046,279,9,   4 592,7,0,"55,3","2,6","0,1","42,0","0,1",    7 ,"0,1"
Capanema,  4 104 501 ,   20 481,   15 998,338,12,   4 123,10,0,"78,1","1,7","0,1","20,1","0,0",    10 ,"0,0"
Capitão Leônidas Marques,  4 104 600 ,   14 648,   9 667,529,28,   4 409,15,0,"65,9","3,6","0,2","30,2","0,1",    15 ,"0,1"
Carambeí,  4 104 659 ,   23 283,   15 623,721,19,   6 913,7,0,"67,1","3,1","0,1","29,7","0,0",    7 ,"0,0"
Carlópolis,  4 104 709 ,   16 905,   12 905,433,347,   3 203,17,0,"76,3","2,6","2,1","18,9","0,1",    17 ,"0,1"
Cascavel,  4 104 808 ,   348 051,   218 931,   14 410,   1 725,   112 730,240,15,"62,9","4,1","0,5","32,4","0,1",    240 ,"0,1"
Castro,  4 104 907 ,   73 075,   45 971,   3 004,274,   23 765,59,2,"62,9","4,1","0,4","32,5","0,1",    62 ,"0,1"
Catanduvas,  4 105 003 ,   10 446,   6 006,288,15,   4 135,- ,2,"57,5","2,8","0,1","39,6","0,0",- ,"0,0"
Centenário do Sul,  4 105 102 ,   10 832,   5 113,825,41,   4 847,6,0,"47,2","7,6","0,4","44,7","0,1",    6 ,"0,1"
Cerro Azul,  4 105 201 ,   16 134,   9 988,255,4,   5 883,4,0,"61,9","1,6","0,0","36,5","0,0",    4 ,"0,0"
Céu Azul,  4 105 300 ,   11 087,   7 338,447,33,   3 251,18,0,"66,2","4,0","0,3","29,3","0,2",    18 ,"0,2"
Chopinzinho,  4 105 409 ,   21 085,   13 334,490,23,   6 284,954,0,"63,2","2,3","0,1","29,8","4,5",    990 ,"4,7"
Cianorte,  4 105 508 ,   79 527,   51 065,   3 085,739,   24 587,49,2,"64,2","3,9","0,9","30,9","0,1",    49 ,"0,1"
Cidade Gaúcha,  4 105 607 ,   11 467,   4 808,689,37,   5 921,12,0,"41,9","6,0","0,3","51,6","0,1",    12 ,"0,1"
Clevelândia,  4 105 706 ,   15 070,   8 586,383,15,   5 959,124,3,"57,0","2,5","0,1","39,6","0,8",    138 ,"0,9"
Colombo,  4 105 805 ,   232 212,   140 862,   12 482,577,   78 030,254,7,"60,7","5,4","0,2","33,6","0,1",    254 ,"0,1"
Colorado,  4 105 904 ,   22 896,   12 742,   1 085,202,   8 854,12,1,"55,7","4,7","0,9","38,7","0,1",    12 ,"0,1"
Congonhinhas,  4 106 001 ,   8 320,   5 074,336,37,   2 869,4,0,"61,0","4,0","0,4","34,5","0,0",    4 ,"0,0"
Conselheiro Mairinck,  4 106 100 ,   3 461,   2 014,194,16,   1 225,12,0,"58,2","5,6","0,5","35,4","0,3",    12 ,"0,3"
Contenda,  4 106 209 ,   19 128,   13 778,378,22,   4 930,20,0,"72,0","2,0","0,1","25,8","0,1",    26 ,"0,1"
Corbélia,  4 106 308 ,   17 470,   12 238,551,27,   4 647,7,0,"70,1","3,2","0,2","26,6","0,0",    7 ,"0,0"
Cornélio Procópio,  4 106 407 ,   45 206,   28 817,   2 789,953,   12 617,30,0,"63,7","6,2","2,1","27,9","0,1",    30 ,"0,1"
Coronel Domingos Soares,  4 106 456 ,   5 649,   2 674,194,3,   2 777,1,0,"47,4","3,4","0,1","49,2","0,0",    1 ,"0,0"
Coronel Vivida,  4 106 506 ,   23 331,   15 241,643,20,   7 228,199,0,"65,3","2,8","0,1","31,0","0,9",    228 ,"1,0"
Corumbataí do Sul,  4 106 555 ,   3 760,   1 659,278,10,   1 805,8,0,"44,1","7,4","0,3","48,0","0,2",    8 ,"0,2"
Cruzeiro do Iguaçu,  4 106 571 ,   4 133,   2 839,114,- ,   1 179,1,0,"68,7","2,8","0,0","28,5","0,0",    1 ,"0,0"
Cruzeiro do Oeste,  4 106 605 ,   23 831,   11 546,   1 449,224,   10 591,21,0,"48,4","6,1","0,9","44,4","0,1",    21 ,"0,1"
Cruzeiro do Sul,  4 106 704 ,   4 494,   2 045,249,128,   2 071,1,0,"45,5","5,5","2,8","46,1","0,0",    1 ,"0,0"
Cruz Machado,  4 106 803 ,   15 978,   13 426,321,7,   2 219,5,0,"84,0","2,0","0,0","13,9","0,0",    5 ,"0,0"
Cruzmaltina,  4 106 852 ,   2 892,   1 803,154,8,926,1,0,"62,3","5,3","0,3","32,0","0,0",    1 ,"0,0"
Curitiba,  4 106 902 ,  1 773 718,  1 320 252,   71 948,   23 635,   355 834,   1 976,73,"74,4","4,1","1,3","20,1","0,1",   2 303 ,"0,1"
Curiúva,  4 107 009 ,   13 647,   8 805,657,44,   4 109,32,0,"64,5","4,8","0,3","30,1","0,2",    189 ,"1,4"
Diamante do Norte,  4 107 108 ,   5 142,   2 408,345,150,   2 236,3,0,"46,8","6,7","2,9","43,5","0,1",    3 ,"0,1"
Diamante do Sul,  4 107 124 ,   3 171,   1 839,118,10,   1 199,5,0,"58,0","3,7","0,3","37,8","0,2",    5 ,"0,2"
Diamante D'Oeste,  4 107 157 ,   4 557,   2 158,219,19,   1 690,471,0,"47,4","4,8","0,4","37,1","10,3",    471 ,"10,3"
Dois Vizinhos,  4 107 207 ,   44 869,   31 873,935,63,   11 980,18,0,"71,0","2,1","0,1","26,7","0,0",    18 ,"0,0"
Douradina,  4 107 256 ,   9 161,   4 973,416,106,   3 663,3,0,"54,3","4,5","1,2","40,0","0,0",    3 ,"0,0"
Doutor Camargo,  4 107 306 ,   6 327,   4 162,295,41,   1 829,- ,0,"65,8","4,7","0,6","28,9","0,0",- ,"0,0"
Enéas Marques,  4 107 405 ,   5 999,   4 221,121,3,   1 647,7,0,"70,4","2,0","0,1","27,5","0,1",    7 ,"0,1"
Engenheiro Beltrão,  4 107 504 ,   12 454,   7 005,698,121,   4 621,8,1,"56,3","5,6","1,0","37,1","0,1",    8 ,"0,1"
Esperança Nova,  4 107 520 ,   1 849,   1 134,63,1,651,- ,0,"61,2","3,4","0,1","35,3","0,0",- ,"0,0"
Entre Rios do Oeste,  4 107 538 ,   4 575,   3 525,110,5,932,3,0,"77,0","2,4","0,1","20,4","0,1",    3 ,"0,1"
Espigão Alto do Iguaçu,  4 107 546 ,   4 797,   2 886,75,3,   1 497,336,0,"60,2","1,6","0,1","31,2","7,0",    339 ,"7,1"
Farol,  4 107 553 ,   3 039,   1 672,98,1,   1 267,1,0,"55,0","3,2","0,0","41,7","0,0",    1 ,"0,0"
Faxinal,  4 107 603 ,   16 389,   10 470,568,80,   5 205,66,0,"63,9","3,5","0,5","31,8","0,4",    292 ,"1,8"
Fazenda Rio Grande,  4 107 652 ,   148 873,   87 895,   9 064,375,   51 335,197,7,"59,0","6,1","0,3","34,5","0,1",    197 ,"0,1"
Fênix,  4 107 702 ,   4 492,   2 220,334,18,   1 919,1,0,"49,4","7,4","0,4","42,7","0,0",    1 ,"0,0"
Fernandes Pinheiro,  4 107 736 ,   6 255,   4 099,123,2,   2 029,2,0,"65,5","2,0","0,0","32,4","0,0",    2 ,"0,0"
Figueira,  4 107 751 ,   8 062,   4 688,433,50,   2 890,1,0,"58,1","5,4","0,6","35,8","0,0",    1 ,"0,0"
Floraí,  4 107 801 ,   4 792,   2 988,228,66,   1 507,3,0,"62,4","4,8","1,4","31,4","0,1",    3 ,"0,1"
Flor da Serra do Sul,  4 107 850 ,   4 364,   2 889,124,3,   1 344,4,0,"66,7","2,9","0,1","30,2","0,1",    4 ,"0,1"
Floresta,  4 107 900 ,   10 458,   5 828,573,170,   3 881,6,0,"55,7","5,5","1,6","37,1","0,1",    6 ,"0,1"
Florestópolis,  4 108 007 ,   11 446,   5 159,756,5,   5 523,3,0,"45,1","6,6","0,0","48,3","0,0",    3 ,"0,0"
Flórida,  4 108 106 ,   2 652,   1 780,161,6,705,- ,0,"67,1","6,1","0,2","26,6","0,0",- ,"0,0"
Formosa do Oeste,  4 108 205 ,   7 635,   5 578,191,48,   1 817,- ,1,"73,1","2,5","0,6","23,8","0,0",- ,"0,0"
Foz do Iguaçu,  4 108 304 ,   285 415,   162 990,   14 705,   1 987,   105 256,473,4,"57,1","5,2","0,7","36,9","0,2",    473 ,"0,2"
Francisco Alves,  4 108 320 ,   8 116,   3 856,403,20,   3 824,12,1,"47,5","5,0","0,2","47,1","0,1",    12 ,"0,1"
Francisco Beltrão,  4 108 403 ,   96 666,   68 914,   2 058,119,   25 521,52,2,"71,3","2,1","0,1","26,4","0,1",    52 ,"0,1"
Foz do Jordão,  4 108 452 ,   4 926,   2 303,155,2,   2 459,7,0,"46,8","3,1","0,0","49,9","0,1",    7 ,"0,1"
General Carneiro,  4 108 502 ,   11 062,   5 981,483,3,   4 561,34,0,"54,1","4,4","0,0","41,2","0,3",    34 ,"0,3"
Godoy Moreira,  4 108 551 ,   2 977,   1 594,136,4,   1 236,7,0,"53,5","4,6","0,1","41,5","0,2",    7 ,"0,2"
Goioerê,  4 108 601 ,   28 437,   14 328,   1 515,554,   12 005,35,0,"50,4","5,3","1,9","42,2","0,1",    35 ,"0,1"
Goioxim,  4 108 650 ,   6 566,   3 368,270,22,   2 893,13,0,"51,3","4,1","0,3","44,1","0,2",    13 ,"0,2"
Grandes Rios,  4 108 700 ,   5 641,   3 018,180,12,   2 428,3,0,"53,5","3,2","0,2","43,0","0,1",    3 ,"0,1"
Guaíra,  4 108 809 ,   32 097,   15 983,   1 308,473,   12 944,   1 389,0,"49,8","4,1","1,5","40,3","4,3",   1 563 ,"4,9"
Guairaçá,  4 108 908 ,   6 587,   3 138,336,33,   3 080,- ,0,"47,6","5,1","0,5","46,8","0,0",- ,"0,0"
Guamiranga,  4 108 957 ,   7 856,   4 544,109,2,   3 200,1,0,"57,8","1,4","0,0","40,7","0,0",    1 ,"0,0"
Guapirama,  4 109 005 ,   4 626,   2 954,220,68,   1 351,33,0,"63,9","4,8","1,5","29,2","0,7",    43 ,"0,9"
Guaporema,  4 109 104 ,   2 191,   1 061,116,1,   1 012,1,0,"48,4","5,3","0,0","46,2","0,0",    1 ,"0,0"
Guaraci,  4 109 203 ,   4 748,   2 430,242,15,   2 057,4,0,"51,2","5,1","0,3","43,3","0,1",    4 ,"0,1"
Guaraniaçu,  4 109 302 ,   13 735,   8 560,178,4,   4 993,- ,0,"62,3","1,3","0,0","36,4","0,0",- ,"0,0"
Guarapuava,  4 109 401 ,   182 093,   119 282,   5 310,388,   56 940,170,3,"65,5","2,9","0,2","31,3","0,1",    170 ,"0,1"
Guaraqueçaba,  4 109 500 ,   7 430,   3 778,197,6,   3 384,65,0,"50,8","2,7","0,1","45,5","0,9",    81 ,"1,1"
Guaratuba,  4 109 609 ,   42 062,   26 749,   1 581,160,   13 500,72,0,"63,6","3,8","0,4","32,1","0,2",    72 ,"0,2"
Honório Serpa,  4 109 658 ,   4 941,   2 444,177,4,   2 316,- ,0,"49,5","3,6","0,1","46,9","0,0",- ,"0,0"
Ibaiti,  4 109 708 ,   28 830,   18 521,   1 295,161,   8 808,45,0,"64,2","4,5","0,6","30,6","0,2",    45 ,"0,2"
Ibema,  4 109 757 ,   6 218,   3 552,85,- ,   2 581,- ,0,"57,1","1,4","0,0","41,5","0,0",- ,"0,0"
Ibiporã,  4 109 807 ,   51 603,   32 526,   2 366,   1 035,   15 632,44,0,"63,0","4,6","2,0","30,3","0,1",    44 ,"0,1"
Icaraíma,  4 109 906 ,   8 991,   4 266,457,30,   4 222,16,0,"47,4","5,1","0,3","47,0","0,2",    16 ,"0,2"
Iguaraçu,  4 110 003 ,   5 338,   2 767,360,20,   2 185,6,0,"51,8","6,7","0,4","40,9","0,1",    6 ,"0,1"
Iguatu,  4 110 052 ,   2 144,   1 132,97,11,901,3,0,"52,8","4,5","0,5","42,0","0,1",    3 ,"0,1"
Imbaú,  4 110 078 ,   14 249,   8 688,481,9,   5 056,15,0,"61,0","3,4","0,1","35,4","0,1",    15 ,"0,1"
Imbituva,  4 110 102 ,   29 924,   21 485,676,30,   7 728,5,0,"71,8","2,3","0,1","25,8","0,0",    5 ,"0,0"
Inácio Martins,  4 110 201 ,   9 670,   6 090,408,1,   3 050,121,0,"63,0","4,2","0,0","31,5","1,3",    128 ,"1,3"
Inajá,  4 110 300 ,   2 536,993,166,19,   1 353,5,0,"39,2","6,5","0,7","53,4","0,2",    29 ,"1,1"
Indianópolis,  4 110 409 ,   4 448,   2 556,161,1,   1 730,- ,0,"57,5","3,6","0,0","38,9","0,0",- ,"0,0"
Ipiranga,  4 110 508 ,   14 142,   10 395,309,9,   3 424,5,0,"73,5","2,2","0,1","24,2","0,0",    5 ,"0,0"
Iporã,  4 110 607 ,   15 746,   8 377,635,102,   6 625,7,0,"53,2","4,0","0,6","42,1","0,0",    7 ,"0,0"
Iracema do Oeste,  4 110 656 ,   2 343,   1 440,99,10,794,- ,0,"61,5","4,2","0,4","33,9","0,0",- ,"0,0"
Irati,  4 110 706 ,   59 250,   46 738,   1 073,70,   11 348,19,2,"78,9","1,8","0,1","19,2","0,0",    19 ,"0,0"
Iretama,  4 110 805 ,   10 684,   5 012,489,29,   5 153,1,0,"46,9","4,6","0,3","48,2","0,0",    1 ,"0,0"
Itaguajé,  4 110 904 ,   4 481,   1 981,198,16,   2 286,- ,0,"44,2","4,4","0,4","51,0","0,0",- ,"0,0"
Itaipulândia,  4 110 953 ,   11 485,   7 373,365,28,   3 507,212,0,"64,2","3,2","0,2","30,5","1,8",    212 ,"1,8"
Itambaracá,  4 111 001 ,   5 908,   3 662,331,103,   1 809,3,0,"62,0","5,6","1,7","30,6","0,1",    3 ,"0,1"
Itambé,  4 111 100 ,   6 111,   3 490,362,45,   2 214,- ,0,"57,1","5,9","0,7","36,2","0,0",- ,"0,0"
Itapejara d'Oeste,  4 111 209 ,   12 344,   8 846,346,11,   3 133,8,0,"71,7","2,8","0,1","25,4","0,1",    8 ,"0,1"
Itaperuçu,  4 111 258 ,   31 217,   18 462,719,53,   11 963,13,7,"59,2","2,3","0,2","38,3","0,0",    13 ,"0,0"
Itaúna do Sul,  4 111 308 ,   3 572,   1 286,272,37,   1 977,- ,0,"36,0","7,6","1,0","55,3","0,0",- ,"0,0"
Ivaí,  4 111 407 ,   13 229,   9 331,438,3,   3 454,3,0,"70,5","3,3","0,0","26,1","0,0",    3 ,"0,0"
Ivaiporã,  4 111 506 ,   32 720,   20 388,   1 326,163,   10 812,31,0,"62,3","4,1","0,5","33,0","0,1",    31 ,"0,1"
Ivaté,  4 111 555 ,   6 831,   3 204,326,23,   3 277,1,0,"46,9","4,8","0,3","48,0","0,0",    1 ,"0,0"
Ivatuba,  4 111 605 ,   2 708,   1 670,168,1,867,2,0,"61,7","6,2","0,0","32,0","0,1",    2 ,"0,1"
Jaboti,  4 111 704 ,   5 427,   3 795,166,21,   1 444,1,0,"69,9","3,1","0,4","26,6","0,0",    1 ,"0,0"
Jacarezinho,  4 111 803 ,   40 375,   23 484,   3 510,136,   13 192,52,1,"58,2","8,7","0,3","32,7","0,1",    52 ,"0,1"
Jaguapitã,  4 111 902 ,   15 122,   8 069,990,37,   6 014,12,0,"53,4","6,5","0,2","39,8","0,1",    12 ,"0,1"
Jaguariaíva,  4 112 009 ,   35 141,   23 299,   1 259,106,   10 455,20,2,"66,3","3,6","0,3","29,8","0,1",    20 ,"0,1"
Jandaia do Sul,  4 112 108 ,   21 408,   14 175,969,184,   6 074,6,0,"66,2","4,5","0,9","28,4","0,0",    6 ,"0,0"
Janiópolis,  4 112 207 ,   5 870,   2 935,281,29,   2 623,2,0,"50,0","4,8","0,5","44,7","0,0",    2 ,"0,0"
Japira,  4 112 306 ,   4 972,   3 316,221,13,   1 419,3,0,"66,7","4,4","0,3","28,5","0,1",    3 ,"0,1"
Japurá,  4 112 405 ,   9 144,   6 523,229,42,   2 350,- ,0,"71,3","2,5","0,5","25,7","0,0",- ,"0,0"
Jardim Alegre,  4 112 504 ,   12 004,   6 950,511,28,   4 508,7,0,"57,9","4,3","0,2","37,6","0,1",    7 ,"0,1"
Jardim Olinda,  4 112 603 ,   1 343,509,61,12,760,1,0,"37,9","4,5","0,9","56,6","0,1",    1 ,"0,1"
Jataizinho,  4 112 702 ,   11 813,   7 126,610,162,   3 908,7,0,"60,3","5,2","1,4","33,1","0,1",    12 ,"0,1"
Jesuítas,  4 112 751 ,   10 506,   6 906,350,113,   3 135,2,0,"65,7","3,3","1,1","29,8","0,0",    2 ,"0,0"
Joaquim Távora,  4 112 801 ,   11 945,   8 773,427,58,   2 677,10,0,"73,4","3,6","0,5","22,4","0,1",    10 ,"0,1"
Jundiaí do Sul,  4 112 900 ,   3 333,   1 661,165,2,   1 505,- ,0,"49,8","5,0","0,1","45,2","0,0",- ,"0,0"
Juranda,  4 112 959 ,   7 771,   4 310,340,40,   3 075,5,1,"55,5","4,4","0,5","39,6","0,1",    5 ,"0,1"
Jussara,  4 113 007 ,   6 690,   3 774,186,38,   2 689,3,0,"56,4","2,8","0,6","40,2","0,0",    3 ,"0,0"
Kaloré,  4 113 106 ,   4 582,   3 177,146,4,   1 255,- ,0,"69,3","3,2","0,1","27,4","0,0",- ,"0,0"
Lapa,  4 113 205 ,   45 003,   29 536,   1 426,48,   13 946,45,2,"65,6","3,2","0,1","31,0","0,1",    47 ,"0,1"
Laranjal,  4 113 254 ,   5 600,   2 616,195,- ,   2 784,1,4,"46,7","3,5","0,0","49,7","0,0",    1 ,"0,0"
Laranjeiras do Sul,  4 113 304 ,   32 227,   21 250,670,44,   10 153,110,0,"65,9","2,1","0,1","31,5","0,3",    124 ,"0,4"
Leópolis,  4 113 403 ,   3 752,   2 034,232,29,   1 455,2,0,"54,2","6,2","0,8","38,8","0,1",    2 ,"0,1"
Lidianópolis,  4 113 429 ,   3 938,   2 201,217,12,   1 508,- ,0,"55,9","5,5","0,3","38,3","0,0",- ,"0,0"
Lindoeste,  4 113 452 ,   5 175,   2 928,182,1,   2 062,2,0,"56,6","3,5","0,0","39,8","0,0",    2 ,"0,0"
Loanda,  4 113 502 ,   23 225,   11 531,   1 296,196,   10 189,10,3,"49,7","5,6","0,8","43,9","0,0",    10 ,"0,0"
Lobato,  4 113 601 ,   4 601,   2 492,160,28,   1 918,1,2,"54,2","3,5","0,6","41,7","0,0",    1 ,"0,0"
Londrina,  4 113 700 ,   555 965,   356 965,   31 870,   18 026,   148 247,832,25,"64,2","5,7","3,2","26,7","0,1",   1 153 ,"0,2"
Luiziana,  4 113 734 ,   6 690,   3 111,322,19,   3 234,4,0,"46,5","4,8","0,3","48,3","0,1",    4 ,"0,1"
Lunardelli,  4 113 759 ,   4 872,   2 975,199,11,   1 685,2,0,"61,1","4,1","0,2","34,6","0,0",    2 ,"0,0"
Lupionópolis,  4 113 809 ,   4 813,   2 560,292,28,   1 933,- ,0,"53,2","6,1","0,6","40,2","0,0",- ,"0,0"
Mallet,  4 113 908 ,   13 428,   11 590,162,3,   1 661,8,4,"86,3","1,2","0,0","12,4","0,1",    8 ,"0,1"
Mamborê,  4 114 005 ,   13 452,   8 359,266,16,   4 801,10,0,"62,1","2,0","0,1","35,7","0,1",    10 ,"0,1"
Mandaguaçu,  4 114 104 ,   31 457,   16 912,   1 848,125,   12 551,21,0,"53,8","5,9","0,4","39,9","0,1",    21 ,"0,1"
Mandaguari,  4 114 203 ,   36 716,   21 971,   2 336,237,   12 160,12,0,"59,8","6,4","0,6","33,1","0,0",    12 ,"0,0"
Mandirituba,  4 114 302 ,   27 439,   19 300,650,52,   7 424,13,0,"70,3","2,4","0,2","27,1","0,0",    13 ,"0,0"
Manfrinópolis,  4 114 351 ,   2 770,   1 720,55,2,990,3,0,"62,1","2,0","0,1","35,7","0,1",    3 ,"0,1"
Mangueirinha,  4 114 401 ,   16 603,   8 930,351,13,   6 381,928,0,"53,8","2,1","0,1","38,4","5,6",   1 008 ,"6,1"
Manoel Ribas,  4 114 500 ,   14 240,   8 503,262,20,   3 564,   1 891,0,"59,7","1,8","0,1","25,0","13,3",   1 891 ,"13,3"
Marechal Cândido Rondon,  4 114 609 ,   55 836,   41 259,   1 732,111,   12 648,82,4,"73,9","3,1","0,2","22,7","0,1",    82 ,"0,1"
Maria Helena,  4 114 708 ,   5 865,   2 784,426,64,   2 582,9,0,"47,5","7,3","1,1","44,0","0,2",    9 ,"0,2"
Marialva,  4 114 807 ,   41 851,   25 349,   2 189,897,   13 369,45,2,"60,6","5,2","2,1","31,9","0,1",    45 ,"0,1"
Marilândia do Sul,  4 114 906 ,   8 677,   5 881,441,116,   2 234,5,0,"67,8","5,1","1,3","25,7","0,1",    10 ,"0,1"
Marilena,  4 115 002 ,   7 253,   2 876,490,18,   3 866,3,0,"39,7","6,8","0,2","53,3","0,0",    3 ,"0,0"
Mariluz,  4 115 101 ,   9 847,   4 358,496,70,   4 916,7,0,"44,3","5,0","0,7","49,9","0,1",    7 ,"0,1"
Maringá,  4 115 200 ,   409 657,   274 733,   18 560,   13 465,   102 581,294,24,"67,1","4,5","3,3","25,0","0,1",    294 ,"0,1"
Mariópolis,  4 115 309 ,   6 371,   3 964,146,5,   2 245,11,0,"62,2","2,3","0,1","35,2","0,2",    11 ,"0,2"
Maripá,  4 115 358 ,   6 555,   5 167,118,9,   1 241,20,0,"78,8","1,8","0,1","18,9","0,3",    20 ,"0,3"
Marmeleiro,  4 115 408 ,   15 901,   11 371,479,11,   4 007,33,0,"71,5","3,0","0,1","25,2","0,2",    33 ,"0,2"
